uuid,day_type,quarter_hour_of_day,from,to,probability
6a389b69-5790-46c1-a1b4-63e816acb1b6,weekday,10,work,other,0.2
993c5860-6f98-4c69-8f35-23bb1cab8fad,weekday,10,shopping,home,0.2
55dcd471-274f-41a8-a3fb-7b050e91e51f,weekday,10,shopping,work,0.2
968ec25b-4f93-4260-96f7-252ae1069f56,weekday,10,shopping,shopping,0.2
e16cfd8c-d9df-497d-9c4a-aa7054c41fd7,weekday,10,shopping,leisure,0.2
f90f099b-05c2-4ae6-a35d-3101314fbfbb,weekday,10,shopping,other,0.2
207ba52d-5d88-44d0-8358-25960bac3ddb,weekday,10,leisure,home,0.2
8445177f-013c-4cfb-ad6b-1375fdbf945d,weekday,10,leisure,work,0.2
7f7f3e47-01c2-4d4a-93e3-34ff075ddd93,weekday,10,leisure,shopping,0.2
f8ac913a-64ea-4621-9e3c-4c6b5183d9ab,weekday,10,leisure,leisure,0.2
a6585ea6-4d6d-46b0-a068-a2087c5bd731,weekday,10,leisure,other,0.2
92e97b11-7976-47ab-8cf5-fe4231c53673,weekday,10,other,home,0.2
af3a7737-1f29-490f-ae02-d58564052b8b,weekday,10,other,work,0.2
cfd9d434-4519-4c75-b4ea-63d430d529e0,weekday,10,other,shopping,0.2
d818b6f6-06c2-4fad-8d6c-42e27b18817c,weekday,10,other,leisure,0.2
fc109d77-0f5f-4e9e-9fad-f27d89367377,weekday,10,other,other,0.2
4766c82b-1096-4611-8dc8-e03d896c14d7,weekday,11,home,home,0.1111111111111111
b5e94302-09c4-4cf3-bac3-17fa671ea191,weekday,11,home,work,0.8888888888888888
b7c718f9-7189-488a-9649-cdd43205e399,weekday,11,home,shopping,0
e410a98c-d1b5-4a47-8c2c-eea48b2b829e,weekday,11,home,leisure,0
80ffa9a2-92cb-4f1d-82d4-1e041513f08e,weekday,11,home,other,0
2bdcae9b-6e39-4f10-808c-9473cea79f06,weekday,11,work,home,0.2
d13939da-444a-48da-b0eb-889893e46f7a,weekday,11,work,work,0.2
932c71ab-fe1d-4df6-8959-6fdb50c9171f,weekday,11,work,shopping,0.2
3a204dbb-6c8e-4ca4-ba43-45db3a646ef0,weekday,11,work,leisure,0.2
73e33e35-b83a-4d09-b9f3-4440a39a5c53,weekday,11,work,other,0.2
ba771bbf-3c45-4f0e-b700-d1a59b62a87b,weekday,11,shopping,home,0.2
bac079a5-2445-4d1b-8ac4-910aab893611,weekday,11,shopping,work,0.2
097cbaa0-7a08-4d5f-bbfc-7b0e84424b33,weekday,11,shopping,shopping,0.2
085cb72b-bfdd-4803-bbc6-47627a3ffc37,weekday,11,shopping,leisure,0.2
00f30548-3d64-496a-b25a-421e83d841ed,weekday,11,shopping,other,0.2
d402d487-c01f-4baf-a587-89da38d261af,weekday,11,leisure,home,0.2
9cba453d-4b6e-4afc-a7e2-4859014bdb1b,weekday,11,leisure,work,0.2
3e01168d-7897-468f-9a25-7988d1f2273f,weekday,11,leisure,shopping,0.2
156926d5-4228-414c-b811-4b58eb589eb3,weekday,11,leisure,leisure,0.2
26025a7d-36b1-4470-bd92-2c5b90f68bda,weekday,11,leisure,other,0.2
af130a54-6f1c-4e86-8092-a0106fb6102f,weekday,11,other,home,0.2
d15cd8ff-5cdb-4784-a433-0e89faa9850f,weekday,11,other,work,0.2
5792ab7f-30cc-44dd-b28a-60ed9be57f35,weekday,11,other,shopping,0.2
2f8aa499-36a7-432c-90a0-3e00b1ad4274,weekday,11,other,leisure,0.2
5898b58d-1870-4ce9-aca7-4998e0f7469a,weekday,11,other,other,0.2
4a34b24e-b2a8-4984-b7fb-754649bfac0a,weekday,12,home,home,0.037037037037037035
8c24223c-15ec-477b-a60d-8d48128f244b,weekday,12,home,work,0.7407407407407407
40283965-7844-4dd4-9154-e3fe97aedf40,weekday,12,home,shopping,0
4de255cd-47d9-48c2-93be-bb311d5f2c57,weekday,12,home,leisure,0.18518518518518517
