uuid,day_type,minute_of_day,probability
a7673ade-13d3-47db-81c4-226f90f0ed08,weekday,486,8.172071129707113e-05
2d1dec29-6afa-471b-a4d2-9581a3332938,weekday,487,8.172071129707113e-05
f0f21418-157e-4392-bcae-664fa9432c01,weekday,488,6.53765690376569e-05
b21900e4-c708-4d5b-9b2e-9fa2777308b5,weekday,489,3.268828451882845e-05
37126bf3-973b-4b77-912d-5f7f9e803481,weekday,490,0.008335512552301255
2f8194d1-993b-49b0-932d-dc24f348f771,weekday,491,3.268828451882845e-05
75be4ec3-0279-4b6f-93ce-808805941109,weekday,492,6.53765690376569e-05
2259f267-de25-41ac-87f4-64694e4817ae,weekday,493,1.6344142259414225e-05
6e5be8f0-0c92-4a2c-a73c-275292806b9a,weekday,494,1.6344142259414225e-05
536e1070-940c-49dd-bd3f-9ea14713e5a2,weekday,495,0.01647489539748954
767b434d-919c-4281-8c23-6dbb12ce56b5,weekday,496,6.53765690376569e-05
cdbf73e5-4ca9-4327-bbae-610477047bc2,weekday,497,0.00011440899581589958
8d071404-84c9-44f5-8af0-c5f3835e1a53,weekday,498,8.172071129707113e-05
99cbfd86-7771-46e6-a04b-ec907d6613f7,weekday,499,3.268828451882845e-05
d78071ee-e2a7-4fb5-ad34-c8e6363cf9d2,weekday,500,0.00580217050209205
4d4ed8b0-b4e7-4429-979a-e22f7e69df55,weekday,501,3.268828451882845e-05
ad5283fa-4a7d-41bc-baae-3a5a7ff09643,weekday,502,0.00014709728033472804
67cee4ac-e685-4d9b-af6c-bcc2c96f5f36,weekday,503,6.53765690376569e-05
460e9519-0345-4ffb-a5f0-8d2c0e40a831,weekday,504,1.6344142259414225e-05
71fbd67f-02bd-4849-bcd8-f5bde7883537,weekday,505,0.0033015167364016736
c7d5ce4f-dc34-456a-a51b-583f17115da9,weekday,506,3.268828451882845e-05
5660b628-4bc9-480e-afdb-cdb8733df6f4,weekday,507,3.268828451882845e-05
867711fd-2bff-48c7-996b-973eb3795593,weekday,510,0.03654550209205021
accd15bc-3c50-4c92-a578-510e0e9be0b6,weekday,511,8.172071129707113e-05
3247b59a-a67b-4db3-9771-507ebd5fe419,weekday,512,0.00011440899581589958
e813123e-11d0-4da1-9243-26e73c9c8dce,weekday,513,4.903242677824268e-05
